City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
308,port-gentil,-0.7193,8.7815,85.96,79,40,14.97,GA,04/03/2023
309,columbus,39.9612,-82.9988,58.69,62,75,10.36,US,04/03/2023
310,biak,-0.9131,122.8766,76.19,84,100,0.72,ID,04/03/2023
311,leh,34.1667,77.5833,23.59,69,95,3.06,IN,04/03/2023
312,yingcheng,30.95,113.55,55.81,90,100,15.84,CN,04/03/2023
313,mastic beach,40.7668,-72.8521,52.54,57,0,13.8,US,04/03/2023
314,tuatapere,-46.1333,167.6833,50.29,90,52,3.09,NZ,04/03/2023
315,san cristobal,7.7669,-72.225,75.38,45,100,9.82,VE,04/03/2023
316,unity,52.4501,-109.1682,12.25,92,100,5.88,CA,04/03/2023
317,wilmington,34.2257,-77.9447,73.31,54,0,10.0,US,04/03/2023
318,bethel,41.3712,-73.414,52.36,41,0,11.5,US,04/03/2023
319,fairbanks,64.8378,-147.7164,3.2,79,20,4.61,US,04/03/2023
320,kysyl-syr,63.8986,122.7617,14.59,98,100,2.66,RU,04/03/2023
321,antsohihy,-14.8796,47.9875,75.81,95,98,3.27,MG,04/03/2023
322,mataro,41.5421,2.4445,65.71,62,34,1.99,ES,04/03/2023
323,saint-paul,-21.0096,55.2707,80.69,97,100,1.99,RE,04/03/2023
324,xuddur,4.1213,43.8894,88.21,43,85,11.5,SO,04/03/2023
325,caraballeda,10.6112,-66.8522,89.37,64,20,4.61,VE,04/03/2023
326,lepaterique,14.0667,-87.4667,69.4,31,78,3.47,HN,04/03/2023
327,gasa,31.5,34.4667,66.56,65,0,10.76,PS,04/03/2023
328,yatou,37.15,122.3833,50.54,67,100,7.36,CN,04/03/2023
329,dunedin,-45.8742,170.5036,54.81,75,93,3.53,NZ,04/03/2023
330,ilhabela,-23.7781,-45.3581,78.57,62,14,4.99,BR,04/03/2023
331,saint-leu,-21.15,55.2833,79.63,97,100,3.65,RE,04/03/2023
332,sinnar,13.5691,33.5672,94.89,8,16,11.77,SD,04/03/2023
333,scarborough,54.2797,-0.4044,51.66,72,77,5.99,GB,04/03/2023
334,talaya,61.3833,152.75,-17.88,98,79,4.12,RU,04/03/2023
335,cururupu,-1.8283,-44.8683,72.73,99,100,1.83,BR,04/03/2023
336,hasaki,35.7333,140.8333,47.21,51,0,11.79,JP,04/03/2023
337,kaniama,-7.5667,24.1833,72.79,90,70,1.9,CD,04/03/2023
338,sayyan,15.1718,44.3244,60.94,65,81,6.71,YE,04/03/2023
339,keetmanshoop,-26.5833,18.1333,81.75,12,0,12.59,NA,04/03/2023
340,yumen,40.2833,97.2,41.45,21,100,19.95,CN,04/03/2023
341,jumla,29.2747,82.1838,45.27,93,78,3.94,NP,04/03/2023
342,pochutla,15.7432,-96.4661,90.82,48,90,5.84,MX,04/03/2023
343,beian,63.6559,9.5683,43.0,65,75,12.66,NO,04/03/2023
344,kushima,31.4583,131.2333,58.55,84,22,6.26,JP,04/03/2023
345,japura,-0.3167,102.35,74.26,97,100,2.55,ID,04/03/2023
